identifier,price,timestamp
fastroad-ar-2,1199,1757062216875
sdrbike-escape-1-city-disc,899,1757062219163
thrive-2,1199,1757062221106
rove-2,799,1757062222752
allure-rs-1-2023,1199,1757062224469
allure-rs-2-2022,799,1757062226651
allure-rs-2-2023,949,1757062228344
allure-rs-2-2024,799,1757062229778
devote-1-2024,1399,1757062231378
devote-1-2022,1699,1757062233145
silex-400-oak-bork-2026,1599,1757062236365
silex-400-warm-slate-grey-2026,1599,1757062239197
escape-city-disc-1-2024,899,1757077554558
roam-disc-2-2024,899,1757077556557
roam-2,999,1757077558219
fastroad-sl-3-2022,999,1757077560145
fastroad-ar-2,1199,1757077562372
sdrbike-escape-1-city-disc,899,1757077564768
thrive-2,1199,1757077566981
rove-2,799,1757077568657
allure-rs-1-2023,1199,1757077570327
allure-rs-2-2022,799,1757077572492
allure-rs-2-2023,949,1757077574190
allure-rs-2-2024,799,1757077575614
devote-1-2024,1399,1757077577259
devote-1-2022,1699,1757077579186
silex-400-oak-bork-2026,1599,1757077582700
silex-400-warm-slate-grey-2026,1599,1757077586753
escape-city-disc-1-2024,899,1757090861987
roam-disc-2-2024,899,1757090864503
roam-2,999,1757090867366
fastroad-sl-3-2022,999,1757090869311
fastroad-ar-2,1199,1757090871357
sdrbike-escape-1-city-disc,899,1757090874434
thrive-2,1199,1757090876733
rove-2,799,1757090878507
allure-rs-1-2023,1199,1757090880480
allure-rs-2-2022,799,1757090883081
allure-rs-2-2023,949,1757090884883
allure-rs-2-2024,799,1757090886928
devote-1-2024,1399,1757090889314
devote-1-2022,1699,1757090891378
silex-400-oak-bork-2026,1599,1757090895450
silex-400-warm-slate-grey-2026,1599,1757090899222
escape-city-disc-1-2024,899,1757105105157
roam-disc-2-2024,899,1757105107625
roam-2,999,1757105109458
fastroad-sl-3-2022,999,1757105111481
fastroad-ar-2,1199,1757105113323
sdrbike-escape-1-city-disc,899,1757105116134
thrive-2,1199,1757105118108
rove-2,799,1757105119929
allure-rs-1-2023,1199,1757105121637
allure-rs-2-2022,799,1757105123620
allure-rs-2-2023,949,1757105125563
allure-rs-2-2024,799,1757105127054
devote-1-2024,1399,1757105128761
devote-1-2022,1699,1757105130659
silex-400-oak-bork-2026,1599,1757105134410
silex-400-warm-slate-grey-2026,1599,1757105138099
escape-city-disc-1-2024,899,1757133936666
roam-disc-2-2024,899,1757133938344
roam-2,999,1757133940232
fastroad-sl-3-2022,999,1757133942142
fastroad-ar-2,1199,1757133943881
sdrbike-escape-1-city-disc,899,1757133946252
thrive-2,1199,1757133948359
rove-2,799,1757133949825
allure-rs-1-2023,1199,1757133951520
allure-rs-2-2022,799,1757133953431
allure-rs-2-2023,949,1757133955283
allure-rs-2-2024,799,1757133957167
devote-1-2024,1399,1757133959393
devote-1-2022,1699,1757133960866
silex-400-oak-bork-2026,1599,1757133964717
silex-400-warm-slate-grey-2026,1599,1757133968254
escape-city-disc-1-2024,899,1757141348134
roam-disc-2-2024,899,1757141349884
roam-2,999,1757141351418
fastroad-sl-3-2022,999,1757141352917
fastroad-ar-2,1199,1757141354579
sdrbike-escape-1-city-disc,899,1757141356784
thrive-2,1199,1757141358866
rove-2,799,1757141360351
allure-rs-1-2023,1199,1757141361794
allure-rs-2-2022,799,1757141363705
allure-rs-2-2023,949,1757141365222
allure-rs-2-2024,799,1757141366686
devote-1-2024,1399,1757141368288
devote-1-2022,1699,1757141369935
silex-400-oak-bork-2026,1599,1757141372532
silex-400-warm-slate-grey-2026,1599,1757141375269
escape-city-disc-1-2024,899,1757148351290
roam-disc-2-2024,899,1757148353592
roam-2,999,1757148355862
fastroad-sl-3-2022,999,1757148358142
fastroad-ar-2,1199,1757148360318
sdrbike-escape-1-city-disc,899,1757148363528
thrive-2,1199,1757148365754
rove-2,799,1757148367743
allure-rs-1-2023,1199,1757148369975
allure-rs-2-2022,799,1757148372449
allure-rs-2-2023,949,1757148374906
allure-rs-2-2024,799,1757148376899
devote-1-2024,1399,1757148379115
devote-1-2022,1699,1757148381297
silex-400-oak-bork-2026,1599,1757148385166
silex-400-warm-slate-grey-2026,1599,1757148389204
escape-city-disc-1-2024,899,1757163590882
roam-disc-2-2024,899,1757163593238
roam-2,999,1757163595510
fastroad-sl-3-2022,999,1757163597771
fastroad-ar-2,1199,1757163600184
sdrbike-escape-1-city-disc,899,1757163603178
thrive-2,1199,1757163605614
rove-2,799,1757163607614
allure-rs-1-2023,1199,1757163609945
allure-rs-2-2022,799,1757163612570
allure-rs-2-2023,949,1757163614576
allure-rs-2-2024,799,1757163616618
devote-1-2024,1399,1757163618827
devote-1-2022,1699,1757163621224
silex-400-oak-bork-2026,1599,1757163628741
silex-400-warm-slate-grey-2026,1599,1757163632689
escape-city-disc-1-2024,899,1757177120585
roam-disc-2-2024,899,1757177122515
roam-2,999,1757177124031
fastroad-sl-3-2022,999,1757177125571
fastroad-ar-2,1199,1757177127160
